molecule_chembl_id,activity_value_nm,activity_type,relation,smiles,heavy_atoms
CHEMBL354386,11.0,IC50,=,NS(=O)(=O)c1cc2ccc(O)cc2o1,14
CHEMBL144970,11.0,Ki,=,NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2c[nH]c3ccccc23)C(=O)O)cc1,28
CHEMBL284831,11.0,Ki,=,NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2cc(Cl)c(S(N)(=O)=O)cc2S(N)(=O)=O)CC(=O)O)CC(=O)O)cc1Cl,57
CHEMBL343944,11.0,Ki,=,NS(=O)(=O)c1ccc(Nc2ccnc(NS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)n2)cc1,32
CHEMBL144322,11.0,Ki,=,NS(=O)(=O)c1ccc(N/C(S)=N\CCCC(=O)O)cc1,20
CHEMBL103621,11.0,IC50,=,CCNCc1cc2cc(S(N)(=O)=O)oc2s1,16
CHEMBL103945,11.0,Ki,=,CCc1cc(-c2ccccc2)cc(CC)[n+]1CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1.[O-][Cl+3]([O-])([O-])[O-],45
CHEMBL354062,11.0,IC50,=,CC(=O)Oc1ccc2[nH]c(S(N)(=O)=O)cc2c1,17
CHEMBL1099152,11.5,IC50,=,COc1ccc(CCCNC(=O)c2cc(S(N)(=O)=O)cnc2Sc2c(F)c(F)cc(F)c2F)cc1,35
CHEMBL3786516,11.67,IC50,=,COc1ccc2c(c1)CCC(NC(=O)N(C)C)C2,18
CHEMBL179559,11.82,IC50,=,NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(Cl)cc2Cl)cc1,24
CHEMBL319182,12.0,Ki,=,Cc1cc(-c2ccccc2)cc(C)[n+]1CC(=O)Nc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O.[O-][Cl+3]([O-])([O-])[O-],38
CHEMBL77284,12.0,Ki,=,NS(=O)(=O)c1ccc(CCNC(=O)c2c(F)c(F)cc(F)c2F)cc1,25
CHEMBL541856,12.0,IC50,=,CC(C)CNCc1cccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)c1.Cl,25
CHEMBL353767,12.0,Ki,=,NS(=O)(=O)Nc1ccc(O)cc1,12
CHEMBL304131,12.0,IC50,=,CCCCCCCCS(=O)(=O)C(Cl)S(N)(=O)=O,17
CHEMBL168514,12.0,Ki,=,NS(=O)(=O)Nc1ccccc1,11
CHEMBL337771,12.0,Ki,=,NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,49
CHEMBL141255,12.0,Ki,=,NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)c2c(F)c(F)c(F)c(F)c2F)cc1Cl,29
CHEMBL6633,12.0,Ki,=,Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1,18
CHEMBL106493,12.0,IC50,=,COCCCNCc1cc2cc(S(N)(=O)=O)oc2s1,19
CHEMBL357475,12.0,Ki,=,NCCCCC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,23
